Lon/X,Lat/Y,Hei/H
-0.628166731,52.05843585,101.0270145
-0.62787396,52.05843585,101.7587757
-0.627581188,52.05843585,102.2668972
-0.627288417,52.05843585,102.6987543
-0.626995646,52.05843585,103.1555866
-0.626702874,52.05843585,103.6767152
-0.626410103,52.05843585,104.1083122
-0.626117332,52.05843585,104.0399954
-0.625824561,52.05843585,103.8280659
-0.625531789,52.05843585,103.6192898
-0.625239018,52.05843585,103.7803032
-0.624946247,52.05843585,103.9198576
-0.624653475,52.05843585,104.0275401
-0.624360704,52.05843585,104.006737
-0.624067933,52.05843585,103.9246904
-0.623775162,52.05843585,103.8429893
-0.62348239,52.05843585,104.0637023
-0.623189619,52.05843585,104.3460363
-0.622896848,52.05843585,104.6646786
-0.622604077,52.05843585,104.9248608
-0.622311305,52.05843585,105.2930792
-0.622018534,52.05843585,105.7212029
-0.621725763,52.05843585,105.7944211
-0.621432991,52.05843585,105.8572172
-0.62114022,52.05843585,105.9117223
-0.620847449,52.05843585,105.9804523
-0.620554678,52.05843585,106.0293474
-0.620261906,52.05843585,106.0597529
-0.619969135,52.05843585,106.0923779
-0.619676364,52.05843585,107.7889674
-0.619383592,52.05843585,111.210682
-0.619090821,52.05843585,111.2941032
-0.61879805,52.05843585,111.2192363
-0.618505279,52.05843585,111.0494635
-0.618212507,52.05843585,111.1606054
-0.617919736,52.05843585,111.2004034
-0.617626965,52.05843585,111.1302471
-0.617334194,52.05843585,111.2260005
-0.617041422,52.05843585,111.20348
-0.616748651,52.05843585,110.9926402
-0.61645588,52.05843585,111.1237193
-0.616163108,52.05843585,111.3602117
-0.615870337,52.05843585,111.7032472
-0.615577566,52.05843585,111.8706228
-0.615284795,52.05843585,111.9308321
-0.614992023,52.05843585,111.845585
-0.614699252,52.05843585,111.9228338
-0.614406481,52.05843585,112.0518396
-0.614113709,52.05843585,112.2251881
-0.613820938,52.05843585,111.9881201
-0.613528167,52.05843585,111.7962093
-0.613235396,52.05843585,111.9125473
-0.612942624,52.05843585,111.7474871
-0.612649853,52.05843585,111.5186787
-0.612357082,52.05843585,111.3153378
-0.612064311,52.05843585,111.2983469
-0.611771539,52.05843585,111.3401192
-0.611478768,52.05843585,111.3874811
-0.611185997,52.05843585,111.4020571
-0.654516145,52.05861586,75.01607981
-0.654223372,52.05861586,75.31023034
-0.6539306,52.05861586,75.2723594
-0.653637827,52.05861586,75.09126772
-0.653345055,52.05861586,75.0117417
-0.653052282,52.05861586,75.03542685
-0.65275951,52.05861586,75.54843111
-0.652466738,52.05861586,76.07729969
-0.652173965,52.05861586,76.61439588
-0.651881193,52.05861586,77.03606376
-0.65158842,52.05861586,77.31416045
-0.651295648,52.05861586,77.41844655
-0.651002875,52.05861586,77.17485746
-0.650710103,52.05861586,77.24571712
-0.65041733,52.05861586,77.79350006
-0.650124558,52.05861586,78.04193562
-0.649831785,52.05861586,78.27131588
-0.649539013,52.05861586,78.52090183
-0.64924624,52.05861586,78.836501
-0.648953468,52.05861586,79.08709155
-0.648660696,52.05861586,79.2078151
-0.648367923,52.05861586,79.53590477
-0.648075151,52.05861586,79.91284164
-0.647782378,52.05861586,80.31417746
-0.647489606,52.05861586,80.68226595
-0.647196833,52.05861586,81.05301997
-0.646904061,52.05861586,81.44540119
-0.646611288,52.05861586,81.9056835
-0.646318516,52.05861586,82.30622521
-0.646025743,52.05861586,82.51322492
-0.645732971,52.05861586,82.84380069
-0.645440198,52.05861586,83.25174094
-0.645147426,52.05861586,83.77674794
-0.644854654,52.05861586,84.4378565
-0.644561881,52.05861586,85.16553979
-0.644269109,52.05861586,85.95941092
-0.643976336,52.05861586,86.77968163
-0.643683564,52.05861586,87.54417869
-0.643390791,52.05861586,88.05256858
-0.643098019,52.05861586,88.45032066
-0.642805246,52.05861586,88.83478257
-0.642512474,52.05861586,89.38443136
-0.642219701,52.05861586,89.77234495
-0.641926929,52.05861586,90.07637656
-0.641634156,52.05861586,90.36590516
-0.641341384,52.05861586,90.7461897
-0.641048612,52.05861586,91.14463498
-0.640755839,52.05861586,91.31335635
-0.640463067,52.05861586,91.74223979
-0.640170294,52.05861586,92.31547969
-0.639877522,52.05861586,92.70661167
-0.639584749,52.05861586,93.02273414
-0.639291977,52.05861586,93.26946894
-0.638999204,52.05861586,93.30741982
-0.638706432,52.05861586,93.30553221
-0.638413659,52.05861586,93.26599336
-0.638120887,52.05861586,93.0970186
-0.637828114,52.05861586,92.99483827
-0.637535342,52.05861586,92.94670455
-0.63724257,52.05861586,92.68519429
-0.636949797,52.05861586,92.78059151
-0.636657025,52.05861586,93.22312666
-0.636364252,52.05861586,93.63615346
-0.63607148,52.05861586,93.9868955
-0.635778707,52.05861586,94.27049991
-0.635485935,52.05861586,94.66879735
-0.635193162,52.05861586,95.15344178
-0.63490039,52.05861586,95.73723838
-0.634607617,52.05861586,96.128133
-0.634314845,52.05861586,96.54610982
-0.634022073,52.05861586,97.01656654
-0.6337293,52.05861586,97.49751771
-0.633436528,52.05861586,97.86091476
-0.633143755,52.05861586,98.04739284
-0.632850983,52.05861586,98.29424506
-0.63255821,52.05861586,98.61570689
-0.632265438,52.05861586,99.04893691
